Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Begin Date),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design),Custom field (Development),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Revision),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Urgency),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
[BUG]Profile photo spelling mistake,TOB-239,10263,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 5:28 PM,05/Mar/24 6:01 PM,22/Feb/24 11:14 PM,,0,Profile text was written instead of profile photo text.,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5543e5c3,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:12,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_588822679_*|*_3_*:*_1_*:*_23414671_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 11:14 PM
[BUG]Wrong symbol entry in text box,TOB-237,10261,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 5:36 PM,05/Mar/24 5:57 PM,22/Feb/24 11:14 PM,,0,"There should not be a number entered in the country section in the personal information field of the profile, but numbers can be entered.",,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d691bfe,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:14,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_588823827_*|*_3_*:*_1_*:*_23414972_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 11:14 PM
[Bug]The page break cannot be displayed in the my personal ınformation section,TOB-236,10260,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 5:21 PM,05/Mar/24 6:02 PM,22/Feb/24 9:01 PM,,0,"

{noformat}Since the address specified in the reference is an address belonging to a personal account, someone logging in from outside cannot view the end of the page specified in the requirement.{noformat}",,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20a34f27,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:1r,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_588823542_*|*_3_*:*_1_*:*_15447029_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 9:01 PM
[Bug]Reference address error in navigation bar,TOB-235,10259,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 5:10 PM,05/Mar/24 6:02 PM,22/Feb/24 9:01 PM,,0,"

The reference address [https://asiyankosun.atlassian.net/browse/TOBETO-16|https://asiyankosun.atlassian.net/browse/TOBETO-16|smart-link]  specified on the Home Page Platform Page is not specified exactly",,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7545ce36,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:1m,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_588824034_*|*_3_*:*_1_*:*_15449873_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 9:01 PM
[Bug]Foreign language update,TOB-231,10255,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 3:38 PM,05/Mar/24 6:02 PM,22/Feb/24 4:44 PM,,0,Profil düzenle sayfasında bulunun yabancı dillerim bölümünde yabancı dil güncelleme butonu aktif değil.,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@466417cb,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013n:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_582377336_*|*_3_*:*_1_*:*_6476231_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:44 PM
[Bug]There is no favorite training area,TOB-229,10253,Bug,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,15/Feb/24 9:10 PM,05/Mar/24 3:36 PM,05/Mar/24 5:57 PM,22/Feb/24 6:47 PM,,0,Eğitimlerim  sayfasında “Favori Eğitimlerim“ alanı açılmıyor.,,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6151cbee,,,,,,,,,,,,,,,,,,,,,,,,,0|i0015b:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_571809897_*|*_3_*:*_1_*:*_24414140_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 6:47 PM
[TC]-Adding a previously added foreign language to the “My Foreign Languages” field on the profile creation page.,TOB-223,10247,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:57 AM,22/Feb/24 4:44 PM,05/Mar/24 5:57 PM,22/Feb/24 4:44 PM,,0,Kullanıcı “Yabancı Dillerim”alanına daha öncede eklediği bir dili eklemesi kontrolü.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fa132af,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013r:i,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_727337392_*|*_3_*:*_1_*:*_17071557_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:44 PM
[TC]-Control to delete the “My Foreign Languages” field on the profile creation page.,TOB-222,10246,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:51 AM,22/Feb/24 4:44 PM,05/Mar/24 6:02 PM,22/Feb/24 4:44 PM,,0,Profil oluşturma “Yabancı Dillerim”alanına başarılı bir şekilde silinmeli.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@536e1f80,,,,,,,,,,,,,,,,,,,,,,,,,0|i0013s:,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_727713766_*|*_3_*:*_1_*:*_17079923_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 4:44 PM
[TC]-Successful addition of a foreign language to the “My Foreign Languages” field on the profile creation page.,TOB-221,10245,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:46 AM,22/Feb/24 6:20 PM,05/Mar/24 6:02 PM,22/Feb/24 6:20 PM,,0,Profil oluşturma “Yabancı Dillerim”alanına başarılı bir şekilde yabancı dil eklenmeli.,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@698cf29b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:4,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_727994667_*|*_3_*:*_1_*:*_22807746_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 6:20 PM
"[TC]-Checking that the ""My Foreign Languages"" field on the profile creation page is left blank.",TOB-220,10244,Test,Done,TOB,tobeto_education_platform,software,elif,712020:d23410fb-3f92-4227-8a57-0fb51899f724,,Medium,Done,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,14/Feb/24 1:39 AM,22/Feb/24 6:20 PM,05/Mar/24 6:02 PM,22/Feb/24 6:20 PM,,0,,,Yasin Turgut,712020:c7948410-318b-48be-9481-8f5ca7cb0f4e,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59912071,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:2,,,,,,,,,,,TOB Sprint 1,,,,,,,,,,,,,,,,,,,10029_*:*_1_*:*_728411602_*|*_3_*:*_1_*:*_22812914_*|*_10020_*:*_1_*:*_0,Done,22/Feb/24 6:20 PM
